Date,Open,High,Low,Close,Volume
2025-05-06,202.1,202.43,199.46,202.1,89311743
2025-05-07,197.95,198.91,196.05,197.95,23400472
2025-05-08,202.53,205.17,201.8,202.53,21809056
2025-05-09,197.62,197.87,197.6,197.62,25714568
2025-05-10,194.69,197.65,193.92,194.69,28618139
2025-05-11,191.39,192.79,191.15,191.39,99794132
2025-05-12,189.66,189.73,188.64,189.66,51836980
2025-05-13,189.45,192.44,188.59,189.45,41716087
2025-05-14,185.74,187.23,185.35,185.74,58438899
2025-05-15,188.14,191.07,187.9,188.14,78440911
2025-05-16,184.96,185.55,183.12,184.96,99548339
2025-05-17,182.17,185.09,181.38,182.17,34543717
2025-05-18,186.99,187.18,184.73,186.99,17001162
2025-05-19,191.3,195.9,190.35,191.3,98363190
2025-05-20,196.84,197.2,196.65,196.84,55748978
2025-05-21,194.23,194.28,193.79,194.23,79504933
2025-05-22,196.11,197.97,195.96,196.11,17142940
2025-05-23,191.1,193.93,189.12,191.1,26043962
2025-05-24,189.54,192.02,186.85,189.54,78146929
2025-05-25,195.66,198.32,195.29,195.66,17801910
2025-05-26,197.61,199.9,196.83,197.61,24119656
2025-05-27,193.7,197.05,193.4,193.7,88493441
2025-05-28,196.28,196.62,192.92,196.28,62504293
2025-05-29,196.15,198.45,193.26,196.15,53144478
2025-05-30,194.4,195.64,191.67,194.4,91491488
2025-05-31,197.03,197.55,195.72,197.03,11395583
2025-06-01,199.76,200.79,198.77,199.76,88293188
2025-06-02,204.57,205.32,203.21,204.57,53612449
2025-06-03,206.98,210.46,206.6,206.98,92216494
2025-06-04,209.81,213.52,207.9,209.81,82036612
2025-06-05,206.63,207.12,205.62,206.63,88390646
2025-06-06,200.95,202.51,200.64,200.95,56893313
2025-06-07,195.77,197.16,194.37,195.77,68123797
2025-06-08,191.5,192.01,191.13,191.5,88881571
2025-06-09,193.68,194.69,192.59,193.68,68330775
2025-06-10,191.59,191.62,191.46,191.59,98450192
2025-06-11,193.82,195.08,192.12,193.82,24122861
2025-06-12,196.52,198.2,190.8,196.52,80595772
2025-06-13,199.03,200.04,198.38,199.03,59323198
2025-06-14,207.76,208.54,204.21,207.76,30257195
2025-06-15,203.76,205.81,203.34,203.76,45222315
2025-06-16,200.6,202.25,198.56,200.6,56446059
2025-06-17,198.56,200.38,197.22,198.56,30159189
2025-06-18,199.65,201.27,199.09,199.65,80958139
2025-06-19,203.79,204.44,202.24,203.79,14504525
2025-06-20,204.41,205.93,199.36,204.41,46280231
2025-06-21,215.46,219.43,213.57,215.46,82398536
2025-06-22,215.41,215.91,215.36,215.41,14592874
2025-06-23,222.2,224.07,221.87,222.2,69774527
2025-06-24,223.2,225.35,220.43,223.2,63391568
2025-06-25,221.57,226.13,221.39,221.57,61917619
2025-06-26,218.55,218.99,216.52,218.55,15422387
2025-06-27,225.12,229.72,222.29,225.12,41916519
2025-06-28,219.42,221.55,217.28,219.42,41622271
2025-06-29,216.28,217.56,215.58,216.28,66737283
