Date,Open,High,Low,Close,Volume
2025-05-06,167.3,168.37,166.98,167.3,21484903
2025-05-07,167.35,168.64,165.7,167.35,93695294
2025-05-08,166.3,167.8,165.87,166.3,92828481
2025-05-09,164.05,164.24,163.29,164.05,32755987
2025-05-10,165.83,166.65,165.51,165.83,79643293
2025-05-11,168.77,172.95,168.25,168.77,86801091
2025-05-12,171.35,171.93,167.88,171.35,92334775
2025-05-13,172.69,176.84,172.53,172.69,43208712
2025-05-14,175.81,176.76,173.29,175.81,52132560
2025-05-15,167.86,167.93,165.66,167.86,62557186
2025-05-16,166.1,168.18,165.94,166.1,60587753
2025-05-17,167.33,168.26,166.69,167.33,55482345
2025-05-18,167.15,168.35,165.14,167.15,30075962
2025-05-19,164.75,165.24,164.53,164.75,40882036
2025-05-20,164.63,168.13,162.78,164.63,97992392
2025-05-21,165.83,166.19,165.42,165.83,58822470
2025-05-22,168.56,168.61,168.05,168.56,76894057
2025-05-23,165.71,166.0,165.66,165.71,70132282
2025-05-24,168.88,169.67,167.16,168.88,53999143
2025-05-25,169.97,170.47,169.67,169.97,11237575
2025-05-26,170.11,171.72,169.96,170.11,44339714
2025-05-27,170.22,173.01,170.13,170.22,27724898
2025-05-28,168.51,169.88,167.79,168.51,62606967
2025-05-29,162.16,163.61,160.99,162.16,21664984
2025-05-30,165.95,166.27,164.83,165.95,97393254
2025-05-31,161.92,163.42,159.89,161.92,80407689
2025-06-01,163.63,164.1,162.14,163.63,80959897
2025-06-02,161.0,162.01,159.76,161.0,53983554
2025-06-03,157.82,160.66,155.5,157.82,16458681
2025-06-04,155.69,156.23,155.38,155.69,67498111
2025-06-05,157.74,157.97,156.15,157.74,15810552
2025-06-06,158.62,159.47,155.71,158.62,32528501
2025-06-07,158.81,159.99,158.13,158.81,50467743
2025-06-08,160.57,164.39,159.05,160.57,10081073
2025-06-09,161.22,161.73,160.15,161.22,60170374
2025-06-10,158.62,159.99,157.64,158.62,25648808
2025-06-11,159.52,161.77,159.08,159.52,51781107
2025-06-12,163.6,166.49,163.59,163.6,59093766
2025-06-13,164.47,166.22,163.08,164.47,55967140
2025-06-14,160.65,162.59,158.71,160.65,66605599
2025-06-15,161.74,162.71,159.17,161.74,90104824
2025-06-16,165.57,165.84,162.28,165.57,96325313
2025-06-17,161.4,162.48,161.2,161.4,34862373
2025-06-18,160.64,161.46,160.08,160.64,24995006
2025-06-19,163.13,164.9,163.06,163.13,77242242
2025-06-20,162.1,163.56,161.2,162.1,64541873
2025-06-21,161.79,163.1,160.41,161.79,72260967
2025-06-22,158.66,159.82,157.16,158.66,38792386
2025-06-23,155.37,156.72,151.6,155.37,47497746
2025-06-24,160.44,161.98,157.88,160.44,59700533
2025-06-25,162.2,162.65,159.65,162.2,97742242
2025-06-26,164.94,166.11,161.77,164.94,97058427
2025-06-27,159.5,159.8,155.95,159.5,22633119
2025-06-28,158.25,160.9,156.89,158.25,17363988
2025-06-29,158.94,159.22,157.36,158.94,44133523
2025-06-30,161.95,162.99,160.71,161.95,81577545
2025-07-01,164.78,168.43,162.33,164.78,33881204
2025-07-02,161.12,164.07,160.78,161.12,60806991
2025-07-03,161.49,164.5,159.8,161.49,91275174
2025-07-04,159.42,159.67,157.6,159.42,38671557
2025-07-05,161.78,162.99,159.13,161.78,39509001
2025-07-06,162.1,162.11,162.09,162.1,11562697
2025-07-07,159.96,162.7,159.46,159.96,79815474
2025-07-08,157.44,159.42,156.85,157.44,44668085
2025-07-09,155.46,156.41,153.95,155.46,34332778
2025-07-10,159.56,160.93,159.07,159.56,95578508
2025-07-11,156.45,156.92,155.93,156.45,85441637
2025-07-12,155.45,157.37,153.65,155.45,38064956
2025-07-13,151.98,154.08,151.54,151.98,55334446
2025-07-14,151.61,151.76,149.64,151.61,50436726
2025-07-15,153.03,153.86,152.68,153.03,67906082
2025-07-16,154.17,154.54,151.92,154.17,50488572
2025-07-17,153.11,154.01,152.91,153.11,20023887
2025-07-18,153.55,156.98,150.97,153.55,21282641
2025-07-19,157.99,158.2,157.9,157.99,52031793
2025-07-20,158.68,159.37,157.84,158.68,43203184
2025-07-21,159.58,160.3,158.47,159.58,69675944
2025-07-22,157.48,157.69,157.38,157.48,79907358
2025-07-23,163.87,164.07,163.12,163.87,27566877
2025-07-24,162.87,163.82,159.75,162.87,17821833
2025-07-25,163.02,163.62,162.19,163.02,21823376
2025-07-26,164.89,166.04,163.22,164.89,45731356
2025-07-27,167.05,168.62,164.42,167.05,55451464
2025-07-28,166.03,168.71,163.85,166.03,12518266
2025-07-29,167.36,170.11,166.46,167.36,61836386
2025-07-30,173.28,173.73,170.97,173.28,99856417
2025-07-31,171.59,174.24,171.37,171.59,14717147
2025-08-01,172.73,175.99,171.3,172.73,16470228
2025-08-02,167.87,171.65,164.2,167.87,98689505
2025-08-03,167.83,168.11,167.67,167.83,99129533
2025-08-04,167.54,167.97,167.04,167.54,32979337
2025-08-05,167.94,169.44,163.92,167.94,51510212
2025-08-06,169.69,172.34,168.32,169.69,14226102
2025-08-07,167.32,167.52,166.42,167.32,56717309
2025-08-08,172.7,175.03,171.72,172.7,24338993
2025-08-09,167.39,168.32,166.4,167.39,34332782
2025-08-10,168.03,169.48,164.62,168.03,94154256
2025-08-11,177.42,178.15,175.17,177.42,81572994
2025-08-12,181.33,181.44,179.88,181.33,30150960
2025-08-13,180.3,180.82,179.82,180.3,54250895
