Date,Open,High,Low,Close,Volume
2025-05-06,394.16,398.74,393.53,394.16,94931221
2025-05-07,405.58,406.77,403.38,405.58,39756543
2025-05-08,402.63,407.02,402.34,402.63,95461498
2025-05-09,418.3,419.6,417.77,418.3,46211550
2025-05-10,417.33,420.8,415.74,417.33,39419710
2025-05-11,423.84,431.64,421.12,423.84,40711751
2025-05-12,407.72,411.52,406.79,407.72,17779066
2025-05-13,402.83,405.43,401.61,402.83,99482752
2025-05-14,400.64,403.73,398.65,400.64,93431553
2025-05-15,414.4,422.54,409.42,414.4,12034870
2025-05-16,410.1,411.29,409.37,410.1,74199289
2025-05-17,411.25,413.76,407.24,411.25,22938724
2025-05-18,422.87,427.77,420.38,422.87,86264360
2025-05-19,429.52,436.85,423.76,429.52,38393305
2025-05-20,440.02,448.22,435.92,440.02,26206535
2025-05-21,426.38,428.12,421.77,426.38,34104559
2025-05-22,420.95,423.95,411.28,420.95,44125436
2025-05-23,423.47,426.78,419.84,423.47,15125890
2025-05-24,418.36,423.68,414.62,418.36,20039012
2025-05-25,431.05,431.19,427.78,431.05,89646926
2025-05-26,436.77,438.63,433.24,436.77,12596997
2025-05-27,426.37,431.25,421.99,426.37,24753009
2025-05-28,416.23,419.14,411.83,416.23,34404977
2025-05-29,416.53,421.86,415.42,416.53,59143902
2025-05-30,403.82,405.61,402.39,403.82,30821025
2025-05-31,395.73,399.09,394.11,395.73,14690403
2025-06-01,405.16,412.88,398.51,405.16,60212337
2025-06-02,384.07,384.9,378.62,384.07,85246217
2025-06-03,373.62,373.89,369.77,373.62,36506221
2025-06-04,374.08,374.22,370.92,374.08,26832157
2025-06-05,370.97,373.9,369.58,370.97,47720352
2025-06-06,379.51,379.72,373.31,379.51,30266509
2025-06-07,376.35,377.02,372.31,376.35,89363619
2025-06-08,375.47,378.4,373.26,375.47,34652827
2025-06-09,375.1,377.88,367.1,375.1,84876212
2025-06-10,378.57,388.82,376.12,378.57,75434954
2025-06-11,381.99,384.21,380.65,381.99,75148939
2025-06-12,381.32,388.44,378.95,381.32,18993647
2025-06-13,378.72,381.67,371.68,378.72,60681634
2025-06-14,370.08,371.11,364.64,370.08,72693382
2025-06-15,380.59,384.59,380.51,380.59,38270815
2025-06-16,386.95,387.24,384.69,386.95,15225359
2025-06-17,384.57,390.86,383.94,384.57,73462383
2025-06-18,385.8,386.56,385.59,385.8,64315219
2025-06-19,381.73,382.0,381.25,381.73,47784370
2025-06-20,384.94,386.19,380.73,384.94,75468031
2025-06-21,380.46,383.75,374.86,380.46,93206409
2025-06-22,389.63,395.6,386.57,389.63,47287984
2025-06-23,378.14,378.9,376.1,378.14,79335939
2025-06-24,375.97,377.77,372.97,375.97,47250260
2025-06-25,370.04,372.86,365.35,370.04,64138036
2025-06-26,364.68,366.73,363.7,364.68,81301607
2025-06-27,364.82,365.69,360.26,364.82,14155472
