Date,Open,High,Low,Close,Volume
2025-05-06,243.83,245.03,241.5,243.83,20283585
2025-05-07,242.63,242.76,241.12,242.63,33467384
2025-05-08,237.84,243.23,236.45,237.84,37342112
2025-05-09,240.48,244.78,238.25,240.48,11435925
2025-05-10,240.89,241.82,239.03,240.89,54805234
2025-05-11,243.64,245.7,242.33,243.64,21202879
2025-05-12,227.56,228.53,224.77,227.56,90741216
2025-05-13,227.2,227.24,225.51,227.2,22583614
2025-05-14,226.72,226.77,226.72,226.72,38730677
2025-05-15,224.8,225.13,224.09,224.8,89069429
2025-05-16,234.52,235.5,232.41,234.52,70988852
2025-05-17,238.76,240.32,233.99,238.76,15629775
2025-05-18,240.77,242.41,235.91,240.77,33483081
2025-05-19,236.41,237.56,236.27,236.41,85905364
2025-05-20,230.16,230.98,228.52,230.16,99796422
2025-05-21,229.79,231.56,226.38,229.79,23615912
2025-05-22,232.12,234.75,229.69,232.12,81693525
2025-05-23,232.87,234.18,232.56,232.87,27503538
2025-05-24,233.76,234.2,226.78,233.76,10050528
2025-05-25,239.24,240.14,235.8,239.24,47679667
2025-05-26,235.33,238.34,232.34,235.33,75424077
2025-05-27,238.65,240.6,236.85,238.65,79432572
2025-05-28,233.55,234.64,230.96,233.55,16827988
2025-05-29,227.31,228.83,226.2,227.31,68094520
2025-05-30,236.98,240.24,233.1,236.98,45759567
2025-05-31,227.72,227.77,227.08,227.72,73713223
2025-06-01,222.07,225.4,220.75,222.07,95217669
2025-06-02,221.76,223.64,217.48,221.76,37876338
2025-06-03,222.68,223.46,220.58,222.68,44009582
2025-06-04,219.08,219.13,216.18,219.08,74478838
2025-06-05,219.74,220.89,219.6,219.74,82642877
2025-06-06,229.28,231.7,226.56,229.28,49503618
2025-06-07,226.24,228.18,222.12,226.24,78180670
2025-06-08,220.99,225.95,220.5,220.99,82840269
2025-06-09,218.82,218.83,217.1,218.82,19850012
2025-06-10,225.79,229.37,224.45,225.79,48594985
