Date,Open,High,Low,Close,Volume
2025-05-06,117.84,119.0,117.43,117.84,58473290
2025-05-07,112.21,112.93,111.25,112.21,32193742
2025-05-08,113.93,114.09,111.92,113.93,86013972
2025-05-09,114.63,115.29,112.15,114.63,38139300
2025-05-10,116.35,116.39,115.83,116.35,26279886
2025-05-11,116.36,119.97,116.22,116.36,66760632
2025-05-12,119.72,120.49,119.67,119.72,31903434
2025-05-13,122.19,122.64,121.93,122.19,12422080
2025-05-14,119.42,120.0,118.4,119.42,44005205
2025-05-15,119.12,119.46,118.97,119.12,11332575
2025-05-16,118.91,120.76,117.32,118.91,78471178
2025-05-17,120.53,121.61,120.42,120.53,16565747
2025-05-18,117.19,117.35,117.16,117.19,31464813
2025-05-19,119.29,120.8,118.48,119.29,96625518
2025-05-20,119.31,120.26,118.86,119.31,42833364
2025-05-21,119.64,120.66,118.14,119.64,20178653
2025-05-22,121.66,122.03,120.95,121.66,92777342
2025-05-23,124.57,124.85,123.93,124.57,47020679
2025-05-24,123.27,123.87,123.25,123.27,14006363
2025-05-25,125.99,126.35,125.33,125.99,16977830
2025-05-26,127.41,128.18,125.5,127.41,88191362
2025-05-27,126.38,128.28,125.31,126.38,26025573
2025-05-28,127.17,128.0,125.74,127.17,51802930
2025-05-29,121.83,122.26,120.58,121.83,16004732
2025-05-30,123.37,124.42,122.5,123.37,90308386
2025-05-31,122.41,123.97,120.4,122.41,48881580
2025-06-01,115.01,116.18,113.78,115.01,18357509
2025-06-02,113.25,114.4,113.21,113.25,80196019
2025-06-03,114.1,114.65,113.07,114.1,35518282
2025-06-04,113.27,114.35,113.25,113.27,17622844
2025-06-05,112.3,114.27,110.24,112.3,64492119
2025-06-06,115.88,116.24,114.61,115.88,36635264
2025-06-07,116.97,118.11,116.3,116.97,25823445
2025-06-08,116.03,116.28,114.83,116.03,85741600
2025-06-09,112.8,112.97,112.29,112.8,22350343
2025-06-10,113.83,113.9,112.26,113.83,24126663
2025-06-11,108.48,108.54,107.73,108.48,67194348
2025-06-12,106.9,108.53,106.74,106.9,77087316
2025-06-13,104.38,104.48,103.36,104.38,43018883
2025-06-14,102.73,102.92,102.04,102.73,63806237
2025-06-15,106.78,107.07,106.77,106.78,32056513
2025-06-16,110.03,111.05,109.06,110.03,30810251
2025-06-17,109.31,109.83,109.18,109.31,95757002
2025-06-18,108.04,108.25,107.56,108.04,65892856
2025-06-19,107.18,108.66,106.98,107.18,10269866
2025-06-20,104.05,104.4,103.05,104.05,43999940
2025-06-21,105.42,105.45,103.2,105.42,10010477
2025-06-22,107.46,107.61,107.4,107.46,23699318
2025-06-23,108.73,110.05,108.65,108.73,22201431
2025-06-24,106.36,107.49,104.79,106.36,69952715
2025-06-25,107.86,108.25,107.53,107.86,85508845
2025-06-26,107.98,108.42,107.97,107.98,28758661
2025-06-27,107.84,107.87,106.3,107.84,32332479
2025-06-28,108.25,108.58,107.16,108.25,34530372
2025-06-29,102.47,102.8,102.11,102.47,96157613
2025-06-30,102.62,103.08,102.03,102.62,32257450
2025-07-01,104.23,106.2,103.6,104.23,87660124
2025-07-02,100.66,102.97,98.76,100.66,94288519
2025-07-03,103.12,103.5,102.11,103.12,70269828
2025-07-04,108.35,109.37,106.95,108.35,51966437
2025-07-05,108.46,109.38,107.7,108.46,79168728
2025-07-06,108.73,110.73,108.37,108.73,28203657
2025-07-07,109.12,109.46,105.95,109.12,17389157
2025-07-08,103.41,104.63,102.55,103.41,77427147
2025-07-09,105.18,105.46,103.82,105.18,69141223
2025-07-10,105.28,105.32,103.77,105.28,15342438
2025-07-11,105.86,107.66,105.82,105.86,10492773
2025-07-12,105.12,105.75,103.96,105.12,34621841
2025-07-13,108.51,108.79,108.35,108.51,62898317
2025-07-14,108.28,109.34,107.36,108.28,72896418
2025-07-15,108.53,109.94,108.17,108.53,89848707
2025-07-16,109.49,110.51,109.32,109.49,71728801
2025-07-17,108.58,109.9,107.96,108.58,38001910
2025-07-18,108.81,109.2,106.51,108.81,45639136
2025-07-19,109.1,109.85,108.91,109.1,74132624
2025-07-20,109.39,109.68,108.94,109.39,80185662
2025-07-21,110.99,111.26,109.09,110.99,22027439
2025-07-22,106.49,107.16,106.26,106.49,64656009
2025-07-23,107.13,108.01,106.93,107.13,30412970
2025-07-24,109.71,110.79,109.31,109.71,74688719
2025-07-25,113.12,113.48,112.73,113.12,15105479
2025-07-26,115.2,115.26,114.54,115.2,99997611
2025-07-27,112.72,112.86,110.68,112.72,91596697
2025-07-28,116.52,117.68,115.78,116.52,55645276
2025-07-29,114.44,114.62,112.41,114.44,88243167
2025-07-30,111.59,112.39,110.73,111.59,43231238
2025-07-31,116.97,117.82,115.95,116.97,38640414
2025-08-01,110.71,111.6,109.68,110.71,74490986
2025-08-02,107.19,109.57,106.82,107.19,86719549
2025-08-03,111.04,111.08,109.42,111.04,70156072
2025-08-04,112.34,113.44,112.1,112.34,33050986
2025-08-05,110.76,111.23,108.54,110.76,36181763
2025-08-06,112.61,113.92,111.15,112.61,27025184
2025-08-07,114.48,116.27,114.14,114.48,95126786
2025-08-08,117.44,118.7,116.98,117.44,33526350
2025-08-09,118.29,118.42,117.4,118.29,98212988
