Date,Open,High,Low,Close,Volume
2025-05-06,444.08,445.65,441.05,444.08,94518194
2025-05-07,432.93,433.44,432.37,432.93,58902071
2025-05-08,431.68,436.22,425.07,431.68,18037032
2025-05-09,430.63,432.82,427.09,430.63,71372764
2025-05-10,436.97,443.34,432.69,436.97,84507197
2025-05-11,421.39,424.37,419.85,421.39,60172590
2025-05-12,406.01,406.73,405.41,406.01,29035107
2025-05-13,419.57,423.73,417.28,419.57,72226034
2025-05-14,414.38,418.03,413.65,414.38,30544835
2025-05-15,408.74,412.05,405.45,408.74,51598908
2025-05-16,409.9,413.0,407.14,409.9,50434244
2025-05-17,411.75,412.68,407.93,411.75,97787583
2025-05-18,427.27,429.46,425.51,427.27,77592173
2025-05-19,439.91,448.67,436.54,439.91,90066638
2025-05-20,419.61,422.96,413.15,419.61,42018581
2025-05-21,412.44,416.27,406.69,412.44,11445432
2025-05-22,406.98,416.87,404.69,406.98,19932857
2025-05-23,417.83,421.88,417.75,417.83,41295779
2025-05-24,420.52,426.37,416.48,420.52,16843911
2025-05-25,419.76,421.12,416.9,419.76,83710664
2025-05-26,449.1,450.2,448.83,449.1,54772364
2025-05-27,461.2,465.95,458.04,461.2,72938116
2025-05-28,466.33,467.26,464.73,466.33,30928626
2025-05-29,476.16,481.73,474.88,476.16,82586044
2025-05-30,483.55,486.61,483.19,483.55,99697964
2025-05-31,476.1,479.04,470.91,476.1,14071364
2025-06-01,480.67,484.39,480.2,480.67,24885480
2025-06-02,476.91,488.56,476.04,476.91,87218955
2025-06-03,489.45,491.55,488.66,489.45,79703894
2025-06-04,491.4,496.8,485.01,491.4,89293839
2025-06-05,496.57,496.93,495.89,496.57,45306975
2025-06-06,493.8,499.6,485.3,493.8,84588558
2025-06-07,481.26,482.46,469.98,481.26,63558810
2025-06-08,486.3,486.87,486.2,486.3,96746692
2025-06-09,478.61,479.12,473.51,478.61,77197761
2025-06-10,468.57,470.45,466.54,468.57,28455538
2025-06-11,459.88,463.13,459.11,459.88,14008008
2025-06-12,463.12,464.36,459.93,463.12,95425466
2025-06-13,464.65,469.32,458.88,464.65,73534457
2025-06-14,459.59,460.11,458.28,459.59,86801634
2025-06-15,470.48,472.28,468.54,470.48,22793269
2025-06-16,469.14,471.6,465.64,469.14,58024865
2025-06-17,478.14,484.08,476.97,478.14,92864287
2025-06-18,471.37,472.41,466.86,471.37,32311688
2025-06-19,471.75,475.83,469.45,471.75,57197968
2025-06-20,463.19,467.34,454.8,463.19,49539255
2025-06-21,453.35,456.78,450.78,453.35,74906542
2025-06-22,461.33,468.21,458.62,461.33,22474866
2025-06-23,466.81,472.84,459.59,466.81,10591917
2025-06-24,474.58,475.93,466.67,474.58,78162651
2025-06-25,469.55,474.26,462.36,469.55,20969824
2025-06-26,444.94,447.17,435.36,444.94,27969065
2025-06-27,444.58,448.55,437.35,444.58,85047091
2025-06-28,449.38,451.39,445.65,449.38,31092954
2025-06-29,456.62,459.61,450.66,456.62,39168605
2025-06-30,441.39,443.41,439.36,441.39,92856060
2025-07-01,442.13,443.0,441.28,442.13,63485843
2025-07-02,450.16,451.08,448.21,450.16,32376318
2025-07-03,454.81,465.49,451.81,454.81,63250816
2025-07-04,453.01,453.84,451.7,453.01,79464969
2025-07-05,463.67,471.62,452.89,463.67,15779572
2025-07-06,475.64,478.02,475.11,475.64,57290267
2025-07-07,488.88,489.05,484.66,488.88,15643661
2025-07-08,486.26,491.29,480.82,486.26,80951763
2025-07-09,498.32,506.76,494.42,498.32,14973575
2025-07-10,484.85,494.17,480.81,484.85,64287649
2025-07-11,471.28,477.84,469.32,471.28,14648060
2025-07-12,473.22,478.71,471.87,473.22,93842305
2025-07-13,489.46,497.93,480.37,489.46,31382121
2025-07-14,502.59,503.76,499.56,502.59,44454579
2025-07-15,496.08,506.31,494.79,496.08,73712620
2025-07-16,481.39,484.46,480.37,481.39,19645458
2025-07-17,464.09,465.93,461.44,464.09,85699568
2025-07-18,464.7,466.68,462.34,464.7,24972530
2025-07-19,462.44,465.61,459.51,462.44,23440781
2025-07-20,457.71,459.83,452.97,457.71,63748502
2025-07-21,445.53,448.31,441.8,445.53,16720967
2025-07-22,469.48,473.61,458.58,469.48,70633008
2025-07-23,448.72,448.94,444.99,448.72,28197881
2025-07-24,455.09,457.62,451.13,455.09,74361586
2025-07-25,463.89,469.95,460.94,463.89,77110434
2025-07-26,489.77,490.93,488.56,489.77,83528070
2025-07-27,492.19,495.38,491.59,492.19,66708614
2025-07-28,509.06,513.84,508.08,509.06,23606375
2025-07-29,501.2,507.62,500.72,501.2,40748237
2025-07-30,507.06,509.74,499.99,507.06,68669602
2025-07-31,509.76,515.36,507.81,509.76,64472632
2025-08-01,512.95,518.09,506.37,512.95,27258123
2025-08-02,511.09,524.72,509.54,511.09,28165826
2025-08-03,508.11,509.2,502.86,508.11,77761293
2025-08-04,520.62,529.18,515.63,520.62,19902870
2025-08-05,524.27,531.68,522.62,524.27,91437148
2025-08-06,532.07,540.36,529.11,532.07,51106460
2025-08-07,523.6,529.75,523.52,523.6,70204982
2025-08-08,518.81,520.08,518.55,518.81,93260003
2025-08-09,503.45,505.35,502.43,503.45,67174037
2025-08-10,516.44,519.87,508.76,516.44,16711830
2025-08-11,503.39,505.7,500.54,503.39,25511768
2025-08-12,516.65,522.23,511.02,516.65,33536418
2025-08-13,509.92,511.05,508.71,509.92,35999067
2025-08-14,509.87,510.27,509.07,509.87,64529260
2025-08-15,505.93,510.28,503.89,505.93,92665163
2025-08-16,490.27,492.98,489.15,490.27,50574317
2025-08-17,482.49,483.66,479.48,482.49,19612725
2025-08-18,480.85,484.03,479.08,480.85,54533741
2025-08-19,481.46,485.56,474.43,481.46,43796711
2025-08-20,457.27,461.32,448.31,457.27,46746825
2025-08-21,465.38,472.33,454.99,465.38,65389375
2025-08-22,480.1,486.84,470.36,480.1,76290028
2025-08-23,483.76,487.43,482.42,483.76,48017729
2025-08-24,503.55,510.2,502.42,503.55,42749784
2025-08-25,499.32,503.67,495.62,499.32,44337356
2025-08-26,498.19,502.74,489.62,498.19,31938385
2025-08-27,513.27,521.67,511.39,513.27,36408797
2025-08-28,505.65,510.36,503.14,505.65,75257882
2025-08-29,508.56,513.43,505.48,508.56,73452320
2025-08-30,499.59,508.09,498.87,499.59,75750165
2025-08-31,500.06,500.81,496.47,500.06,13214636
2025-09-01,510.0,513.08,504.92,510.0,13122880
2025-09-02,509.4,510.42,500.72,509.4,67492487
2025-09-03,508.2,513.64,507.8,508.2,31704195
2025-09-04,500.74,501.41,496.39,500.74,18293121
2025-09-05,507.62,516.34,503.3,507.62,24700979
2025-09-06,507.45,512.66,503.23,507.45,92323554
