Date,Open,High,Low,Close,Volume
2025-05-06,247.89,249.35,247.55,247.89,71294905
2025-05-07,245.03,247.46,244.31,245.03,80935592
2025-05-08,242.78,245.47,241.09,242.78,71381656
2025-05-09,239.94,246.72,237.98,239.94,97369107
2025-05-10,242.94,242.97,240.87,242.94,83708011
2025-05-11,241.74,245.34,238.98,241.74,36063353
2025-05-12,238.67,240.53,236.85,238.67,52440631
2025-05-13,240.75,241.48,238.17,240.75,19750658
2025-05-14,238.41,241.95,238.23,238.41,16648539
2025-05-15,230.48,231.07,228.61,230.48,18974136
2025-05-16,227.05,227.23,226.68,227.05,50026245
2025-05-17,224.0,224.84,223.65,224.0,55705711
2025-05-18,222.93,223.37,218.75,222.93,63464749
2025-05-19,222.32,224.17,221.05,222.32,89656900
2025-05-20,220.99,224.65,218.0,220.99,94469622
2025-05-21,227.71,228.73,221.18,227.71,28299268
2025-05-22,229.13,231.21,225.76,229.13,63028962
2025-05-23,230.41,233.44,227.78,230.41,38539912
2025-05-24,233.23,233.5,233.1,233.23,88399819
2025-05-25,238.42,241.14,237.53,238.42,75467112
2025-05-26,228.07,228.17,227.33,228.07,12527394
2025-05-27,227.21,230.74,225.04,227.21,48726860
2025-05-28,221.52,221.9,220.67,221.52,29061686
2025-05-29,227.67,230.06,224.79,227.67,38240917
2025-05-30,235.3,236.83,234.29,235.3,33127202
2025-05-31,235.72,235.88,231.28,235.72,76180807
2025-06-01,238.35,240.12,235.23,238.35,16957338
2025-06-02,236.72,238.74,233.69,236.72,37323583
2025-06-03,237.28,239.9,237.07,237.28,37112401
2025-06-04,240.43,240.77,239.38,240.43,63064537
2025-06-05,233.48,233.9,229.89,233.48,77728536
2025-06-06,241.55,244.43,239.09,241.55,70501681
2025-06-07,235.75,236.85,233.33,235.75,54552197
2025-06-08,230.41,235.44,225.19,230.41,22112905
2025-06-09,236.31,241.55,235.36,236.31,30637360
2025-06-10,230.11,232.27,230.11,230.11,79869021
2025-06-11,228.25,230.55,226.58,228.25,12396437
2025-06-12,225.66,225.9,222.58,225.66,65011618
2025-06-13,236.03,236.79,235.72,236.03,69529386
2025-06-14,235.24,235.56,234.25,235.24,56830678
2025-06-15,240.33,242.39,237.14,240.33,26366227
2025-06-16,246.41,247.77,244.69,246.41,79323186
2025-06-17,248.56,254.34,248.21,248.56,15914897
2025-06-18,245.72,247.94,241.58,245.72,51210482
2025-06-19,247.16,247.77,246.52,247.16,15503181
2025-06-20,250.95,254.55,248.8,250.95,60141070
2025-06-21,250.31,252.84,247.83,250.31,29552706
2025-06-22,254.03,255.27,251.16,254.03,60624178
2025-06-23,256.65,256.99,252.63,256.65,31338977
2025-06-24,256.43,256.99,256.05,256.43,15432451
2025-06-25,262.49,264.27,259.9,262.49,71874933
2025-06-26,262.02,263.21,259.98,262.02,20975069
2025-06-27,266.35,269.59,265.41,266.35,59059341
2025-06-28,269.19,269.47,268.17,269.19,46366853
2025-06-29,267.94,272.21,267.56,267.94,97836665
2025-06-30,265.98,266.05,264.56,265.98,39579363
2025-07-01,266.0,268.5,265.95,266.0,46404122
2025-07-02,257.82,259.38,255.49,257.82,49795242
2025-07-03,263.21,266.67,260.29,263.21,95603180
2025-07-04,267.65,268.04,266.91,267.65,23446393
2025-07-05,266.75,268.67,263.44,266.75,97310941
2025-07-06,277.03,279.4,276.24,277.03,82110827
2025-07-07,278.07,281.67,272.91,278.07,90678715
2025-07-08,283.1,287.7,279.94,283.1,18987812
2025-07-09,288.19,290.04,285.69,288.19,17001704
2025-07-10,286.16,288.13,285.67,286.16,29827914
2025-07-11,294.36,296.71,290.05,294.36,24323627
2025-07-12,298.06,301.96,297.95,298.06,87945689
2025-07-13,303.74,305.7,298.81,303.74,70018208
2025-07-14,299.98,304.39,291.77,299.98,20173400
2025-07-15,302.07,303.18,299.86,302.07,30790597
2025-07-16,298.97,299.32,296.27,298.97,33485327
2025-07-17,308.03,312.47,304.25,308.03,78407321
2025-07-18,318.45,320.41,318.19,318.45,97713494
2025-07-19,324.35,327.46,323.13,324.35,52613556
2025-07-20,330.59,330.77,327.88,330.59,25056051
2025-07-21,335.85,337.59,332.84,335.85,18450182
2025-07-22,339.11,341.63,338.32,339.11,56047021
2025-07-23,338.86,343.38,337.32,338.86,76874221
2025-07-24,337.02,340.64,334.25,337.02,23311275
2025-07-25,329.46,330.27,328.49,329.46,45081765
2025-07-26,324.75,328.43,323.43,324.75,25533032
2025-07-27,323.84,324.97,321.47,323.84,87563386
2025-07-28,325.17,328.45,320.71,325.17,16817229
2025-07-29,328.31,329.49,324.65,328.31,79142750
2025-07-30,323.96,327.08,322.58,323.96,85718232
2025-07-31,325.91,326.23,323.16,325.91,51757682
2025-08-01,311.34,312.88,310.69,311.34,39438885
2025-08-02,316.51,319.48,315.09,316.51,60500526
2025-08-03,319.32,319.67,318.99,319.32,70511179
2025-08-04,312.25,312.8,308.46,312.25,59847412
2025-08-05,303.97,304.66,302.35,303.97,69608750
2025-08-06,307.71,309.94,304.23,307.71,81586816
2025-08-07,310.61,312.53,307.06,310.61,65376821
2025-08-08,301.49,305.75,300.66,301.49,66473899
