Date,Open,High,Low,Close,Volume
2025-05-06,261.98,262.42,260.03,261.98,96914230
2025-05-07,267.21,267.38,264.6,267.21,41551322
2025-05-08,269.94,271.1,268.64,269.94,93231509
2025-05-09,275.16,280.61,272.92,275.16,46586612
2025-05-10,280.73,280.79,278.97,280.73,96392540
2025-05-11,284.36,285.98,281.3,284.36,97010234
2025-05-12,284.93,285.98,283.48,284.93,43058926
2025-05-13,284.32,284.84,283.67,284.32,80721966
2025-05-14,291.3,295.67,290.24,291.3,77693065
2025-05-15,281.46,286.21,275.61,281.46,76460862
2025-05-16,278.64,279.51,278.61,278.64,23867853
2025-05-17,278.74,281.8,277.93,278.74,64584608
2025-05-18,280.12,283.11,272.84,280.12,98585224
2025-05-19,276.38,276.87,276.29,276.38,66836419
2025-05-20,282.11,284.51,277.94,282.11,44745001
2025-05-21,279.52,282.58,278.55,279.52,16732086
2025-05-22,282.36,286.25,282.3,282.36,86425180
2025-05-23,272.72,272.97,269.69,272.72,63202421
2025-05-24,267.47,269.86,266.33,267.47,43468573
2025-05-25,267.13,267.77,264.73,267.13,41233315
2025-05-26,267.51,268.3,266.43,267.51,31460583
2025-05-27,264.36,268.49,262.71,264.36,33179275
2025-05-28,258.48,259.7,257.39,258.48,27363465
2025-05-29,257.17,261.12,255.78,257.17,37226366
2025-05-30,257.86,261.64,256.81,257.86,75189046
2025-05-31,257.87,258.9,257.44,257.87,31944111
2025-06-01,251.02,253.8,249.6,251.02,84360914
2025-06-02,248.98,252.7,248.39,248.98,61356741
2025-06-03,253.35,257.04,251.87,253.35,14190988
2025-06-04,246.43,247.29,242.89,246.43,45330838
2025-06-05,254.61,255.17,254.36,254.61,80199575
2025-06-06,248.66,250.3,247.35,248.66,93252325
2025-06-07,252.98,254.34,251.42,252.98,43758829
2025-06-08,249.78,250.67,245.4,249.78,19334227
2025-06-09,244.81,246.48,243.92,244.81,74285836
2025-06-10,248.62,252.95,246.06,248.62,11316570
2025-06-11,246.64,251.44,245.74,246.64,34159893
2025-06-12,248.7,249.06,244.88,248.7,68487546
2025-06-13,250.33,252.43,250.13,250.33,56263954
2025-06-14,251.63,253.27,250.46,251.63,76399069
2025-06-15,251.27,252.92,249.51,251.27,30488166
2025-06-16,257.53,258.1,256.48,257.53,52976695
2025-06-17,254.85,255.12,254.56,254.85,91890075
2025-06-18,252.56,253.75,248.56,252.56,51792939
2025-06-19,254.65,258.01,254.32,254.65,11921969
2025-06-20,249.02,251.75,247.54,249.02,18903071
2025-06-21,250.19,254.99,245.9,250.19,92639086
2025-06-22,247.79,249.03,247.78,247.79,42967214
2025-06-23,247.17,248.82,244.51,247.17,64660882
2025-06-24,255.25,255.63,253.05,255.25,10373117
2025-06-25,260.51,266.18,259.19,260.51,24493751
2025-06-26,256.29,257.75,252.75,256.29,19252688
2025-06-27,250.54,251.55,249.41,250.54,49354440
2025-06-28,250.39,253.06,249.27,250.39,72033952
2025-06-29,238.57,241.16,235.95,238.57,44277941
2025-06-30,230.35,233.12,229.78,230.35,58062780
2025-07-01,234.37,236.41,232.66,234.37,37499120
2025-07-02,233.68,236.96,231.33,233.68,67875487
2025-07-03,227.77,232.15,226.7,227.77,73729168
2025-07-04,231.71,231.91,231.36,231.71,59281626
2025-07-05,226.88,226.96,225.9,226.88,73029101
2025-07-06,231.45,234.25,227.58,231.45,26118907
2025-07-07,232.02,234.27,231.29,232.02,60356522
2025-07-08,235.74,237.31,232.78,235.74,69099068
2025-07-09,232.75,233.98,229.48,232.75,71570324
2025-07-10,228.83,229.39,228.7,228.83,47525392
