Date,Open,High,Low,Close,Volume
2025-05-06,377.05,377.08,373.04,377.05,96634234
2025-05-07,377.26,378.89,376.47,377.26,69798058
2025-05-08,367.93,370.06,366.39,367.93,21183472
2025-05-09,367.07,372.11,366.66,367.07,44413405
2025-05-10,368.63,370.8,363.25,368.63,72567656
2025-05-11,364.98,370.07,363.19,364.98,26766222
2025-05-12,361.46,365.99,356.46,361.46,63277786
2025-05-13,364.27,364.87,361.37,364.27,80885506
2025-05-14,367.81,372.9,365.93,367.81,58769897
2025-05-15,382.77,384.49,381.97,382.77,55339993
2025-05-16,368.17,369.81,364.59,368.17,90002190
2025-05-17,378.7,379.38,376.93,378.7,26009001
2025-05-18,373.81,375.24,368.02,373.81,76564435
2025-05-19,372.3,373.27,370.97,372.3,19827842
2025-05-20,382.14,383.25,373.23,382.14,89727352
2025-05-21,380.44,381.56,380.23,380.44,38166471
2025-05-22,391.99,401.05,390.78,391.99,96716744
2025-05-23,404.52,404.92,402.85,404.52,50708896
2025-05-24,414.36,420.03,411.89,414.36,83669221
2025-05-25,410.98,413.15,410.94,410.98,70325965
2025-05-26,419.24,425.54,412.87,419.24,15780855
2025-05-27,411.63,412.71,411.27,411.63,32530569
2025-05-28,428.69,435.42,426.14,428.69,25608483
2025-05-29,434.42,438.52,431.25,434.42,24169512
2025-05-30,437.18,438.42,432.97,437.18,31444849
2025-05-31,449.7,449.88,446.61,449.7,57784743
2025-06-01,456.99,459.47,454.57,456.99,61027854
2025-06-02,454.89,462.0,454.73,454.89,88816876
2025-06-03,447.19,447.64,445.06,447.19,77012119
2025-06-04,443.5,446.62,439.39,443.5,88748110
2025-06-05,454.68,454.71,450.31,454.68,48003367
2025-06-06,464.56,466.97,454.21,464.56,16264975
2025-06-07,469.37,475.76,466.68,469.37,73012823
2025-06-08,470.67,476.54,469.86,470.67,87116172
2025-06-09,476.24,482.79,475.49,476.24,96882490
2025-06-10,491.42,492.71,488.58,491.42,48573196
2025-06-11,481.25,482.34,476.1,481.25,85425256
2025-06-12,495.7,497.51,495.25,495.7,48135636
2025-06-13,497.09,502.74,494.62,497.09,83662581
2025-06-14,506.12,512.05,503.56,506.12,88122291
2025-06-15,491.18,493.36,485.12,491.18,51428214
2025-06-16,501.63,506.69,498.95,501.63,39436065
2025-06-17,518.08,518.16,514.64,518.08,88292159
2025-06-18,511.36,515.09,506.23,511.36,12374003
2025-06-19,515.62,520.74,508.37,515.62,35579572
2025-06-20,510.31,513.26,510.29,510.31,69235904
2025-06-21,524.53,536.18,520.17,524.53,84682910
2025-06-22,519.82,521.29,519.81,519.82,20747961
2025-06-23,525.13,534.04,521.36,525.13,16410779
2025-06-24,521.29,526.18,516.38,521.29,80893658
2025-06-25,521.46,525.21,521.04,521.46,87439043
2025-06-26,520.92,526.97,519.92,520.92,16696207
2025-06-27,520.77,522.45,517.23,520.77,39898975
2025-06-28,527.81,535.12,526.04,527.81,13081694
2025-06-29,521.83,526.91,519.97,521.83,41209826
2025-06-30,510.13,510.52,510.09,510.13,61382189
2025-07-01,500.6,510.55,498.62,500.6,34965753
2025-07-02,503.6,507.84,495.6,503.6,14335933
2025-07-03,495.51,499.04,495.49,495.51,79249167
