Date,Open,High,Low,Close,Volume
2025-05-06,50.87,50.93,50.4,50.87,52688516
2025-05-07,48.73,49.41,48.51,48.73,18602909
2025-05-08,49.4,49.96,48.62,49.4,88419782
2025-05-09,51.22,51.32,51.19,51.22,60836907
2025-05-10,51.55,51.69,51.53,51.55,37245882
2025-05-11,51.71,51.86,51.17,51.71,49527797
2025-05-12,51.42,51.95,51.4,51.42,53818633
2025-05-13,51.98,52.88,51.65,51.98,89737642
2025-05-14,51.87,52.47,50.75,51.87,22924265
2025-05-15,52.31,52.37,52.12,52.31,32513063
2025-05-16,50.61,50.62,50.29,50.61,44626976
2025-05-17,51.05,51.17,50.8,51.05,14396018
2025-05-18,51.74,53.1,51.74,51.74,92299626
2025-05-19,50.58,51.18,50.44,50.58,32783202
2025-05-20,51.16,51.42,51.0,51.16,30182584
2025-05-21,51.9,52.27,51.77,51.9,97224874
2025-05-22,53.29,53.65,53.29,53.29,30875469
2025-05-23,54.62,54.76,54.55,54.62,27177949
2025-05-24,52.49,53.0,52.3,52.49,50794204
2025-05-25,52.5,53.98,52.39,52.5,62557044
2025-05-26,51.56,51.85,51.08,51.56,77754523
2025-05-27,51.01,52.54,49.93,51.01,76084282
2025-05-28,50.82,51.27,50.68,50.82,48455311
2025-05-29,49.11,50.14,48.72,49.11,15970501
2025-05-30,48.94,48.94,48.22,48.94,69756528
2025-05-31,48.95,49.09,48.4,48.95,86896800
2025-06-01,49.67,50.08,49.45,49.67,62789774
2025-06-02,50.51,50.75,50.13,50.51,23293743
2025-06-03,50.28,50.49,49.97,50.28,22602453
2025-06-04,50.62,50.92,50.04,50.62,15288252
2025-06-05,50.24,50.28,50.02,50.24,12850536
2025-06-06,50.55,50.62,50.5,50.55,55235159
2025-06-07,53.17,53.85,52.46,53.17,56630914
2025-06-08,52.53,52.7,52.23,52.53,71342796
2025-06-09,52.21,52.34,52.06,52.21,19419864
2025-06-10,52.68,53.42,51.84,52.68,47809875
2025-06-11,53.18,53.92,53.13,53.18,28634297
2025-06-12,53.64,53.79,53.44,53.64,65320400
2025-06-13,53.11,53.21,53.0,53.11,49927465
2025-06-14,52.55,53.95,52.39,52.55,27428177
2025-06-15,52.87,53.06,51.93,52.87,48451875
2025-06-16,53.11,53.64,52.92,53.11,99629465
2025-06-17,52.63,52.97,51.73,52.63,76203394
2025-06-18,54.1,54.41,53.97,54.1,18840139
2025-06-19,55.79,56.76,55.39,55.79,97099269
2025-06-20,54.91,55.24,54.36,54.91,65834566
2025-06-21,56.17,56.23,55.45,56.17,11623839
2025-06-22,58.73,59.11,58.66,58.73,41917358
2025-06-23,58.15,58.5,57.72,58.15,52595871
2025-06-24,57.94,58.28,56.87,57.94,10215224
2025-06-25,58.07,58.56,57.93,58.07,62472602
2025-06-26,58.67,58.92,58.08,58.67,32700619
2025-06-27,60.05,60.17,59.83,60.05,90421515
2025-06-28,59.69,59.85,58.55,59.69,60240358
2025-06-29,59.15,59.24,59.11,59.15,29577092
2025-06-30,60.32,61.66,60.05,60.32,27438593
2025-07-01,60.69,61.21,60.1,60.69,28291400
2025-07-02,59.72,60.63,59.57,59.72,27941131
2025-07-03,59.5,59.89,58.17,59.5,67722854
2025-07-04,59.04,59.6,58.73,59.04,72526897
2025-07-05,62.04,62.15,62.03,62.04,62510445
2025-07-06,62.91,63.24,62.23,62.91,95397331
2025-07-07,63.28,63.85,62.67,63.28,77051198
2025-07-08,64.16,64.27,63.89,64.16,58319369
2025-07-09,63.21,63.33,62.38,63.21,79641970
2025-07-10,62.91,63.63,61.62,62.91,38126476
2025-07-11,64.5,65.18,63.86,64.5,14911644
2025-07-12,64.73,65.25,64.43,64.73,26422829
2025-07-13,65.31,65.32,65.0,65.31,41570100
2025-07-14,68.2,69.44,67.82,68.2,26176634
2025-07-15,68.01,68.3,67.84,68.01,80477755
2025-07-16,67.76,68.36,66.3,67.76,96678089
2025-07-17,70.2,70.59,69.63,70.2,52994164
2025-07-18,69.48,70.32,67.65,69.48,43628730
2025-07-19,70.23,70.6,69.97,70.23,14246809
2025-07-20,70.5,71.54,70.09,70.5,40260336
2025-07-21,72.67,73.46,72.58,72.67,36446322
2025-07-22,74.19,74.76,73.6,74.19,54458685
2025-07-23,75.29,76.64,75.25,75.29,66869782
2025-07-24,75.07,75.71,74.6,75.07,37726540
2025-07-25,76.05,76.74,75.95,76.05,37552139
2025-07-26,76.98,77.41,76.25,76.98,40819951
2025-07-27,78.14,78.2,77.47,78.14,81522144
2025-07-28,79.65,80.11,79.54,79.65,26177994
2025-07-29,78.78,79.0,77.28,78.78,34507563
2025-07-30,75.64,76.2,74.97,75.64,29529834
2025-07-31,77.61,78.16,77.04,77.61,41211639
2025-08-01,75.39,76.36,75.0,75.39,62867487
2025-08-02,75.57,75.89,74.32,75.57,76266417
2025-08-03,73.93,74.62,73.91,73.93,99381345
2025-08-04,74.35,75.36,73.61,74.35,12060949
2025-08-05,73.13,73.4,72.47,73.13,32899772
2025-08-06,72.1,72.15,70.42,72.1,12697899
2025-08-07,71.95,73.19,71.81,71.95,99429183
2025-08-08,73.62,74.24,72.45,73.62,76755407
2025-08-09,74.81,75.0,74.26,74.81,62951292
2025-08-10,76.78,77.16,75.21,76.78,42335446
2025-08-11,76.5,77.34,75.44,76.5,95815961
2025-08-12,75.96,75.99,75.76,75.96,79696468
2025-08-13,76.87,77.16,74.99,76.87,99927408
2025-08-14,75.86,76.51,74.68,75.86,37678841
2025-08-15,76.1,76.5,75.13,76.1,58081585
2025-08-16,77.02,77.73,76.31,77.02,10803316
2025-08-17,77.76,78.08,77.02,77.76,17489532
2025-08-18,78.83,78.92,77.42,78.83,67475780
2025-08-19,77.47,79.23,77.07,77.47,71186025
2025-08-20,77.39,77.47,77.08,77.39,19447269
2025-08-21,77.94,77.99,76.66,77.94,46937190
2025-08-22,80.77,81.38,79.64,80.77,23587785
2025-08-23,81.15,81.16,81.14,81.15,23978698
2025-08-24,81.67,81.98,81.15,81.67,56997802
2025-08-25,81.88,82.2,81.87,81.88,72473133
